email,SubId1,SubId2,SubId3,SubId4,SubId5,SubId6,SubId7,SubId8,SubId9,SubId10,SubId11,SubId12,SubId13,SubId14,SubId15,Token1,Token2,Token3,Token4,Token5,Token6,Token7,Token8,Token9,Token10,Token11,Token12,Token13,Token14,Token15,ResourceGName,ResourceGNameT,ResourceGNameH,ResourceGNameF,ResourceGNameI,clusterName,clusterNameTwo,clusterNameThree,clusterNameFour,clusterNameFive,HostedServiceName,VMName,HostedServiceNameT,HostedServiceNameH,VMNameT,VMNameH,VMNameF,VMNameI,Customer,ServiceId,ServiceIdT,ServiceIdH,ServiceIdF,ServiceIdI,DeploymentId,DeploymentIdT,DeploymentIdH,ClusterResourceGName,ClusterResourceGNameT,ClusterResourceGNameH,ClusterResourceGNameF,ClusterResourceGNameI,ClusterResourceGNameS,ServiceIdS,APPOne,APPT,APPH,APPF,APPI,SubscriptionName,SubscriptionNameT,SubscriptionNameH,EnrollmentNumber,MSStandEncoderCN,SoneMRUnitsCN,StwoMRUnitsCN,SthrMRUniteCN,website,BAStandardSUCN,SQLDataGA,SernameOne,SernameTwo,SernameThr,Sernamefou,Sernamefiv,clusterID,clusterIDTWO,clusterIDThree,SubId16,SubId17,SubId18,SubId19,SubId20,VMNameS,VMNameE,VMNameG,VMNameN,VMNameTEN,VMNameL,VMNameW,VMNameR,VMNameO,VMNameV,ResourceGNameS,ResourceGNameE,ResourceGNameG,ResourceGNameN,clusterIDFour,Resourcename,ResourcenameT,ResourcenameH,ResourcenameF,ServiceIdE,ImageNameone,ImageNametwo,NewImageone,NewImagetwo,ICPID
1162506316@qq.com,e471d339-4524-441d-b075-e466ac202175,,,,,,,,,,,,,,,"e471d339-4524-441d-b075-e466ac202175, 提前支付",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1822648230@qq.com,59d2f4e8-cc57-4688-b0c2-fda9cf878f8a,,,,,,,,,,,,,,,"59d2f4e8-cc57-4688-b0c2-fda9cf878f8a, 标准预付费服务",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35625400@qq.com,0fb4c0de-901b-4032-a230-b950155a87e9,,,,,,,,,,,,,,,"0fb4c0de-901b-4032-a230-b950155a87e9, 标准预付套餐",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258038808@qq.com,afd67a0b-bf29-4062-9be3-99d2aee08c7c,,,,,,,,,,,,,,,"afd67a0b-bf29-4062-9be3-99d2aee08c7c, 提前支付",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374930156@qq.com,ad2616e5-66c9-4b97-becb-9255fdcf0ccc,,,,,,,,,,,,,,,"ad2616e5-66c9-4b97-becb-9255fdcf0ccc, 提前支付",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1016983312@qq.com,63491c6f-7611-4cae-b3c5-50fab21a3dae,,,,,,,,,,,,,,,"63491c6f-7611-4cae-b3c5-50fab21a3dae, 提前支付",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3115313720@qq.com,0f3bf6dd-ea56-49af-bf66-0b5f809c5c42,,,,,,,,,,,,,,,"0f3bf6dd-ea56-49af-bf66-0b5f809c5c42, THINKNEST",,,,,,,,,,,,,,,k8sdev,k8sproduction,,,,thinknestk8sdev,thinknestk8sproduction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460525778@qq.com,cacdc79a-1ae0-4c0b-b4f3-7fec7dbf234c,,,,,,,,,,,,,,,"cacdc79a-1ae0-4c0b-b4f3-7fec7dbf234c, 标准预付费服务1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53011880@qq.com,5fed88c8-a6d1-4c47-b78d-6ecad010bf7d,,,,,,,,,,,,,,,"5fed88c8-a6d1-4c47-b78d-6ecad010bf7d, 标准预付费服务",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39299390@qq.com,e8fb0ae7-70a7-4ff0-b702-4dd36859622d,,,,,,,,,,,,,,,"e8fb0ae7-70a7-4ff0-b702-4dd36859622d, PAY-IN-ADVANCE",,,,,,,,,,,,,,,,,,,,,,,,,Microtivo,Microtivo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
